id,namaProduk,imageUrl,harga,skinType,colorRange,SkintoneId,createdAt,updatedAt
83,Makeup By Mario SurrealSkin Liquid Foundation (17N),https://www.sephora.com/productimages/sku/s2620383-main-zoom.jpg?imwidth=630,Rp. 624.372,Kering,Neutral,4,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
84,Makeup By Mario SurrealSkin Liquid Foundation (18W),https://www.sephora.com/productimages/sku/s2620391-main-zoom.jpg?imwidth=630,Rp. 624.372,Kering,Warm,4,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
85,Makeup By Mario SurrealSkin Liquid Foundation (19C),https://www.sephora.com/productimages/sku/s2620409-main-zoom.jpg?imwidth=630,Rp. 624.372,Kering,Cool,4,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
86,Makeup By Mario SurrealSkin Liquid Foundation (20N),https://www.sephora.com/productimages/sku/s2620417-main-zoom.jpg?imwidth=630,Rp. 624.372,Kering,Neutral,4,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
87,Makeup By Mario SurrealSkin Liquid Foundation (21W),https://www.sephora.com/productimages/sku/s2620425-main-zoom.jpg?imwidth=630,Rp. 624.372,Kering,Warm,4,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
88,Makeup By Mario SurrealSkin Liquid Foundation (22C),https://www.sephora.com/productimages/sku/s2620433-main-zoom.jpg?imwidth=630,Rp. 624.372,Kering,Cool,4,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
89,Makeup By Mario SurrealSkin Liquid Foundation (23O),https://www.sephora.com/productimages/sku/s2620441-main-zoom.jpg?imwidth=630,Rp. 624.372,Kering,Neutral,4,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
119,Nars Light Reflectiong Advanced Skincare Foundation (MD2.3),https://www.sephora.com/productimages/sku/s2514529-main-zoom.jpg?imwidth=630,Rp. 743.300,All Skintype,Neutral,4,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
120,Nars Light Reflectiong Advanced Skincare Foundation (MD2.6),https://www.sephora.com/productimages/sku/s2514511-main-zoom.jpg?imwidth=630,Rp. 743.300,All Skintype,Neutral,4,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
121,Nars Light Reflectiong Advanced Skincare Foundation (MD3),https://www.sephora.com/productimages/sku/s2514503-main-zoom.jpg?imwidth=630,Rp. 743.300,All Skintype,Neutral and Golden,4,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
122,Nars Light Reflectiong Advanced Skincare Foundation (MD3.3),https://www.sephora.com/productimages/sku/s2514495-main-zoom.jpg?imwidth=630,Rp. 743.300,All Skintype,Neutral,4,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
123,Nars Light Reflectiong Advanced Skincare Foundation (MD3.6),https://www.sephora.com/productimages/sku/s2514487-main-zoom.jpg?imwidth=630,Rp. 743.300,All Skintype,Warmand Red,4,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
124,Nars Light Reflectiong Advanced Skincare Foundation (MD4),https://www.sephora.com/productimages/sku/s2514479-main-zoom.jpg?imwidth=630,Rp. 743.300,All Skintype,Warmand Olive,4,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
125,Nars Light Reflectiong Advanced Skincare Foundation (MD5),https://www.sephora.com/productimages/sku/s2514461-main-zoom.jpg?imwidth=630,Rp. 743.300,All Skintype,Warm,4,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
155,Too Faced Born This Way Natural Finish Longwear Liquid Foundation (Brulee),https://www.sephora.com/productimages/sku/s2084648-main-zoom.jpg?imwidth=630,Rp. 668.970,All Skintype,Golden,4,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
156,Too Faced Born This Way Natural Finish Longwear Liquid Foundation (Mocha),https://www.sephora.com/productimages/sku/s1762624-main-zoom.jpg?imwidth=630,Rp. 668.970,All Skintype,Rosy,4,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
157,Too Faced Born This Way Natural Finish Longwear Liquid Foundation (Butter Pecan),https://www.sephora.com/productimages/sku/s2084630-main-zoom.jpg?imwidth=630,Rp. 668.970,All Skintype,Golden,4,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
158,Too Faced Born This Way Natural Finish Longwear Liquid Foundation (Maple),https://www.sephora.com/productimages/sku/s1762632-main-zoom.jpg?imwidth=630,Rp. 668.970,All Skintype,Neutral,4,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
159,Too Faced Born This Way Natural Finish Longwear Liquid Foundation (Chesnut),https://www.sephora.com/productimages/sku/s1762640-main-zoom.jpg?imwidth=630,Rp. 668.970,All Skintype,Golden,4,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
160,Too Faced Born This Way Natural Finish Longwear Liquid Foundation (Chai),https://www.sephora.com/productimages/sku/s2084655-main-zoom.jpg?imwidth=630,Rp. 668.970,All Skintype,Golden,4,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
161,Too Faced Born This Way Natural Finish Longwear Liquid Foundation (Mahogany),https://www.sephora.com/productimages/sku/s1762657-main-zoom.jpg?imwidth=630,Rp. 668.970,All Skintype,Golden,4,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
47,Wardah Exclusive Liquid Foundation ,https://d2jlkn4m127vak.cloudfront.net/medias/products/variant-1675432509.png,Rp. 100.000,Normal dan Berminyak (Oily Skin),Medium,5,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
53,BLP Face Base Foundation ,https://images.soco.id/38215269374-1593145490255.png,Rp. 179.100,All Skintype,Warm,5,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
55,BLP Cover Cushion Foundation ,https://images.soco.id/c8011f60-f723-4c28-8250-8e42f834bafc-image-3-1612754436814,Rp. 179.100,Kering dan Sensitif,Warm,5,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
58,SOMETHINC Badass Breathable Full Coverage 12HR Serum Foundation ,https://images.somethinc.com/uploads/products/thumbs/800x800/Serene-BADASS_Breathable_Full_Coverage_12HR_Serum_Foundation.jpg,Rp. 119.000,Berminyak (Oily Skin),Warm,5,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
90,Makeup By Mario SurrealSkin Liquid Foundation (24N),https://www.sephora.com/productimages/sku/s2620458-main-zoom.jpg?imwidth=630,Rp. 624.372,Kering,Cool,5,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
91,Makeup By Mario SurrealSkin Liquid Foundation (25W),https://www.sephora.com/productimages/sku/s2620466-main-zoom.jpg?imwidth=630,Rp. 624.372,Kering,Neutral,5,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
92,Makeup By Mario SurrealSkin Liquid Foundation (26N),https://www.sephora.com/productimages/sku/s2620474-main-zoom.jpg?imwidth=630,Rp. 624.372,Kering,Warm,5,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
93,Makeup By Mario SurrealSkin Liquid Foundation (27W),https://www.sephora.com/productimages/sku/s2620482-main-zoom.jpg?imwidth=630,Rp. 624.372,Kering,Warm,5,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
94,Makeup By Mario SurrealSkin Liquid Foundation (28W),https://www.sephora.com/productimages/sku/s2620490-main-zoom.jpg?imwidth=630,Rp. 624.372,Kering,Cool,5,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
95,Makeup By Mario SurrealSkin Liquid Foundation (29C),https://www.sephora.com/productimages/sku/s2620508-main-zoom.jpg?imwidth=630,Rp. 624.372,Kering,Warm,5,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
96,Makeup By Mario SurrealSkin Liquid Foundation (30W),https://www.sephora.com/productimages/sku/s2620524-main-zoom.jpg?imwidth=630,Rp. 624.372,Kering,Warm,5,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
126,Nars Light Reflectiong Advanced Skincare Foundation (D1),https://www.sephora.com/productimages/sku/s2514453-main-zoom.jpg?imwidth=630,Rp. 743.300,All Skintype,Cool,5,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
127,Nars Light Reflectiong Advanced Skincare Foundation (D2),https://www.sephora.com/productimages/sku/s2514446-main-zoom.jpg?imwidth=630,Rp. 743.300,All Skintype,Warmand Olive,5,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
128,Nars Light Reflectiong Advanced Skincare Foundation (D3),https://www.sephora.com/productimages/sku/s2514438-main-zoom.jpg?imwidth=630,Rp. 743.300,All Skintype,Neutral and Olive,5,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
129,Nars Light Reflectiong Advanced Skincare Foundation (D4),https://www.sephora.com/productimages/sku/s2514420-main-zoom.jpg?imwidth=630,Rp. 743.300,All Skintype,Warmand Red,5,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
130,Nars Light Reflectiong Advanced Skincare Foundation (D5),https://www.sephora.com/productimages/sku/s2514412-main-zoom.jpg?imwidth=630,Rp. 743.300,All Skintype,Warm,5,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
131,Nars Light Reflectiong Advanced Skincare Foundation (D6),https://www.sephora.com/productimages/sku/s2550473-main-zoom.jpg?imwidth=630,Rp. 743.300,All Skintype,Neutral,5,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
132,Nars Light Reflectiong Advanced Skincare Foundation (D7),https://www.sephora.com/productimages/sku/s2550481-main-zoom.jpg?imwidth=630,Rp. 743.300,All Skintype,Neutral,5,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
133,Nars Light Reflectiong Advanced Skincare Foundation (D8),https://www.sephora.com/productimages/sku/s2514412-main-zoom.jpg?imwidth=630,Rp. 743.300,All Skintype,Cool,5,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
162,Too Faced Born This Way Natural Finish Longwear Liquid Foundation (Spiced Rum),https://www.sephora.com/productimages/sku/s2084663-main-zoom.jpg?imwidth=630,Rp. 668.970,All Skintype,Rosy,5,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
163,Too Faced Born This Way Natural Finish Longwear Liquid Foundation (Hazelnut),https://www.sephora.com/productimages/sku/s1960798-main-zoom.jpg?imwidth=630,Rp. 668.970,All Skintype,Rosy,5,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
164,Too Faced Born This Way Natural Finish Longwear Liquid Foundation  (Tiramisu),https://www.sephora.com/productimages/sku/s2084671-main-zoom.jpg?imwidth=630,Rp. 668.970,All Skintype,Golden,5,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
165,Too Faced Born This Way Natural Finish Longwear Liquid Foundation (Cocoa),https://www.sephora.com/productimages/sku/s1960806-main-zoom.jpg?imwidth=630,Rp. 668.970,All Skintype,Neutral,5,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
166,Too Faced Born This Way Natural Finish Longwear Liquid Foundation (Sable),https://www.sephora.com/productimages/sku/s2084689-main-zoom.jpg?imwidth=630,Rp. 668.970,All Skintype,Rosy,5,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
167,Too Faced Born This Way Natural Finish Longwear Liquid Foundation (Truffle),https://www.sephora.com/productimages/sku/s2084697-main-zoom.jpg?imwidth=630,Rp. 668.970,All Skintype,Golden,5,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
168,Too Faced Born This Way Natural Finish Longwear Liquid Foundation (Ganache),https://www.sephora.com/productimages/sku/s2084705-main-zoom.jpg?imwidth=630,Rp. 668.970,All Skintype,Neutral,5,2023-05-27 12:52:41.436+07,2023-05-27 12:52:41.436+07
